callsign,name,lat,lon,site,wind.link,wind.n,type,wave,wave.link,wave.n,wave.type,wind
46243,Clatsop Spit,46.216,-124.128,46243,https://www.ndbc.noaa.gov/data/realtime2/46243.txt,144,NDBC,TRUE,https://www.ndbc.noaa.gov/data/realtime2/46243.spec,48,NDBC,TRUE
46087,Cape Flattery,48.493,-124.727,46087,https://www.ndbc.noaa.gov/data/realtime2/46087.txt,144,NDBC,TRUE,https://www.ndbc.noaa.gov/data/realtime2/46087.spec,48,NDBC,TRUE
46088,New Dungeness,48.332,-123.179,46088,https://www.ndbc.noaa.gov/data/5day2/46088_5day.txt,144,NDBC,TRUE,https://www.ndbc.noaa.gov/data/realtime2/46088.spec,48,NDBCIN,TRUE
46041,Cape Elizabeth,47.352,-124.739,46041,https://www.ndbc.noaa.gov/data/realtime2/46041.txt,144,NDBC,TRUE,https://www.ndbc.noaa.gov/data/realtime2/46041.spec,48,NDBC,TRUE
WPOW1,West Point,47.662,-122.436,WPOW1,https://www.ndbc.noaa.gov/data/5day2/WPOW1_5day,144,CONT,,,,,TRUE
46120,Point Wells,47.761,-122.397,46120,https://www.ndbc.noaa.gov/data/realtime2/46120.txt,144,NDBC,,,,,TRUE
SISW1,Smith Island,48.321,-122.831,SISW1,https://www.ndbc.noaa.gov/data/5day2/SISW1_5day.txt,144,NDBC,,,,,TRUE
FRDW1,Friday Harbor,48.545,-123.012,FRDW1,https://www.ndbc.noaa.gov/data/realtime2/FRDW1.txt,240,NDBC,,,,,TRUE
CPMW1,Cherry Point South,48.86,-122.756,CPMW1,https://www.ndbc.noaa.gov/data/realtime2/CPMW1.txt,240,NDBC,,,,,TRUE
CPNW1,Cherry Point North,48.863,-122.758,CPNW1,https://www.ndbc.noaa.gov/data/realtime2/CPNW1.txt,240,NDBC,,,,,TRUE
46303,Southern Georgia Strait,49.02,-123.43,46303,https://www.ndbc.noaa.gov/data/realtime2/46303.txt,24,NDBC,TRUE,https://www.ndbc.noaa.gov/data/realtime2/46303.txt,24,CA,TRUE
46123,Twanoh,47.375,-123.008,46123,https://www.ndbc.noaa.gov/data/realtime2/46123.txt,144,NDBC,,,,,TRUE
TCMW1,Tacoma,47.276,-122.418,TCMW1,https://www.ndbc.noaa.gov/data/realtime2/TCMW1.txt,240,NDBC,,,,,TRUE
AA0RD-13,New Dungeness Lighthouse,48.18168,-123.10979,AV721,,,APRS,,,,,TRUE
QC,Quileute Center,47.84591,-124.6876,QC,,,,TRUE,https://erddap.backyardbuoys.org/erddap/tabledap/backyardbuoys_quileute_center.csvp?time%2Csea_surface_wave_significant_height%2Csea_surface_wave_mean_period%2Csea_surface_wave_from_direction,48,SOFAR,
QN,Quileute North,47.9398,-124.764,QN,,,,TRUE,https://erddap.backyardbuoys.org/erddap/tabledap/backyardbuoys_quileute_north.csvp?time%2Csea_surface_wave_significant_height%2Csea_surface_wave_mean_period%2Csea_surface_wave_from_direction,48,SOFAR,
QS,Quileute South,47.77113,-124.5974,QS,,,,TRUE,https://erddap.backyardbuoys.org/erddap/tabledap/backyardbuoys_quileute_south.csvp?time%2Csea_surface_wave_significant_height%2Csea_surface_wave_mean_period%2Csea_surface_wave_from_direction,48,SOFAR,
